,Mean,Std
F1,8686881.731971662,22305848.448688667
F2,2.44104815717999e+17,6.857014550669489e+17
F3,54309.54876973044,11141.323097601758
F4,519.9848195104888,21.37199123195629
F5,620.5568075975303,29.881380079149334
F6,628.5220910788123,7.28926011649453
F7,897.7601772580113,54.13825767423334
F8,892.8247734538667,19.73512894453696
F9,2023.0679400137894,807.1774329638907
F10,8312.229437530097,301.4821857193172
F11,1255.0761967638734,64.97608326367967
F12,757472.9457209501,1072872.8366440358
F13,21013.626257435048,15917.632435025711
F14,26669.814614431114,25967.390499363682
F15,9744.910142379744,13736.913891622002
F16,2633.290886284811,306.2326299614411
F17,2021.5965486204452,157.7910423153103
F18,571116.6769409697,355743.6434741742
F19,15993.95183805332,25553.306477653223
F20,2422.7470782506407,160.59272524739933
F21,2400.94968604134,20.101748950293114
F22,3080.568575077581,2288.4553808280507
F23,2793.972096494923,35.871765651087344
F24,2942.037600811333,29.416168998638184
F25,2927.8726070997227,24.11864619133408
F26,4576.907354723828,1414.1965403391387
F27,3252.510950593892,30.329712127938457
F28,3274.1398637426682,25.934903354634773
F29,3859.822384886953,221.89551009950083
F30,19193.958123100318,15482.248111298119
